date_key,date,day,day_suffix,week_day,week_day_name,week_day_name_short,week_dayname_first_letter,day_of_year,week_of_month,week_of_year,month,month_name,month_name_Short,month_name_first_letter,quarter,quarter_name,year,yyyymm,year_month,is_weekend,first_date_of_month,last_date_of_month,first_date_of_week,last_date_of_week,year_week
20150330,30/03/2015,30,th,1,Monday,MON,M,89,6,14,3,March,MAR,M,1,Q1,2015,201503,2015MAR,0,01/03/2015,31/03/2015,30/03/2015,05/04/2015,2015.14
20150331,31/03/2015,31,st,2,Tuesday,TUE,T,90,6,14,3,March,MAR,M,1,Q1,2015,201503,2015MAR,0,01/03/2015,31/03/2015,30/03/2015,05/04/2015,2015.14
20150401,01/04/2015,1,st,3,Wednesday,WED,W,91,1,14,4,April,APR,A,2,Q2,2015,201504,2015APR,0,01/04/2015,30/04/2015,30/03/2015,05/04/2015,2015.14
20150402,02/04/2015,2,nd,4,Thursday,THU,T,92,1,14,4,April,APR,A,2,Q2,2015,201504,2015APR,0,01/04/2015,30/04/2015,30/03/2015,05/04/2015,2015.14
20150403,03/04/2015,3,rd,5,Friday,FRI,F,93,1,14,4,April,APR,A,2,Q2,2015,201504,2015APR,0,01/04/2015,30/04/2015,30/03/2015,05/04/2015,2015.14
20150404,04/04/2015,4,th,6,Saturday,SAT,S,94,1,14,4,April,APR,A,2,Q2,2015,201504,2015APR,1,01/04/2015,30/04/2015,30/03/2015,05/04/2015,2015.14
20150405,05/04/2015,5,th,7,Sunday,SUN,S,95,1,14,4,April,APR,A,2,Q2,2015,201504,2015APR,1,01/04/2015,30/04/2015,30/03/2015,05/04/2015,2015.14
20150406,06/04/2015,6,th,1,Monday,MON,M,96,2,15,4,April,APR,A,2,Q2,2015,201504,2015APR,0,01/04/2015,30/04/2015,06/04/2015,12/04/2015,2015.15
20150407,07/04/2015,7,th,2,Tuesday,TUE,T,97,2,15,4,April,APR,A,2,Q2,2015,201504,2015APR,0,01/04/2015,30/04/2015,06/04/2015,12/04/2015,2015.15
20150408,08/04/2015,8,th,3,Wednesday,WED,W,98,2,15,4,April,APR,A,2,Q2,2015,201504,2015APR,0,01/04/2015,30/04/2015,06/04/2015,12/04/2015,2015.15
